data_date,I1
2018-08-31,16.71
2018-09-03,16.01
2018-09-04,15.98
2018-09-05,16.22
2018-09-06,16.34
2018-09-07,16.1
2018-09-10,15.58
2018-09-11,15.99
2018-09-12,15.94
2018-09-13,16.15
2018-09-14,15.87
2018-09-17,15.0
2018-09-18,15.92
2018-09-19,15.7
2018-09-20,15.99
2018-09-21,16.75
2018-09-25,15.77
2018-09-26,16.54
2018-09-27,16.32
2018-09-28,16.06
2018-09-29,16.27
2018-09-30,15.41
2018-10-08,16.28
2018-10-09,15.78
2018-10-10,16.44
2018-10-11,15.59
2018-10-12,14.94
2018-10-15,15.29
2018-10-16,15.4
2018-10-17,16.16
2018-10-18,15.33
2018-10-19,15.95
2018-10-22,16.08
2018-10-23,15.24
2018-10-24,16.23
2018-10-25,16.0
2018-10-26,16.18
2018-10-29,17.41
2018-10-30,15.68
2018-10-31,17.07
2018-11-01,16.11
2018-11-02,16.73
2018-11-05,15.91
2018-11-06,15.82
2018-11-07,16.71
2018-11-08,16.42
2018-11-09,16.06
2018-11-12,15.69
2018-11-13,16.3
2018-11-14,16.26
2018-11-15,15.38
2018-11-16,17.51
2018-11-19,16.16
2018-11-20,16.24
2018-11-21,16.0
2018-11-22,17.19
2018-11-23,15.64
2018-11-26,15.82
2018-11-27,16.03
2018-11-28,15.79
2018-11-29,16.25
2018-11-30,16.08
2018-12-03,17.19
2018-12-04,16.42
2018-12-05,15.74
2018-12-06,16.41
2018-12-07,16.18
2018-12-10,16.21
2018-12-11,15.47
2018-12-12,15.28
